#,Address,BLOBZ,Points,snapshot_org,golden_blobz,silver_blobz,galxe_leaderboard,blobz_x_fwx,300_bitcoin,questn,gull_network,3960_jk,600_somdej,1000_lqdx,100_op,last_change_to_mint,blobz_invasion,get_golder_blobz,fwx_trading
31,0xcF8373446363216f0daC6ace39cd3dB12cF8689b,5454,24,5,2,2,2,1,0,5,1,1,0,0,0,1,2,1,1
31,0xd002E731B302286009AbAAFD5E05A9853f5f3002,5454,24,5,2,2,1,1,0,5,1,1,0,0,1,1,2,1,1
46,0x073bd72a224946a368148399C1c8b558605D90bd,5226,23,6,2,2,1,2,1,5,0,0,0,0,0,0,2,1,1
46,0x12924049E2D21664E35387C69429c98E9891a820,5226,23,5,2,2,1,1,0,5,1,0,1,0,0,1,2,1,1
46,0x288A4e70Eba5d4f92e28F8CCc561E9fC947304A1,5226,23,4,2,2,5,1,0,5,0,0,0,0,0,0,2,1,1
46,0x290dB8d204833eA62e25D581cBB472CFe09B876D,5226,23,6,2,2,1,1,0,5,1,0,1,0,0,0,2,1,1
46,0x2B062E868df35D6B9749e3d9062Ab2313B3C1a5f,5226,23,6,2,2,1,1,1,5,1,0,0,0,0,0,2,1,1
46,0x2eCcfFD5c709830f440912ca911e37e6043fefE0,5226,23,5,2,2,1,2,0,5,1,0,0,0,0,1,2,1,1
46,0x3079F63Df53bb3443636A92eB1768efe37E21221,5226,23,6,1,1,1,2,0,5,1,0,1,0,1,0,2,1,1
46,0x38F926551456A8cf6dA4F0fdFb96B39f4C53db45,5226,23,6,2,2,1,1,1,5,1,0,0,0,0,0,2,1,1
46,0x41477A57A8916237A8ff512bA3D9bF487D9cbb79,5226,23,6,1,2,1,1,0,5,1,0,1,0,1,0,2,1,1
46,0x51D2bF026Fde1Ce087c178d9cE3F91FdEbF054E6,5226,23,6,2,2,1,2,0,5,1,0,0,0,0,0,2,1,1
46,0x5f20a0eE72Cab0162479874316fE6c199a0D5b67,5226,23,6,2,3,1,2,0,5,0,0,1,0,1,0,0,1,1
46,0x6858A4D8d7D0297C138b403B6A34cb3b424B7f4a,5226,23,5,2,2,1,3,1,5,0,0,0,0,0,0,2,1,1
46,0x80092f94F8D3f9048624ed68F5a0DaBeAfB9FEDC,5226,23,6,2,2,1,2,1,5,0,0,0,0,0,0,2,1,1
46,0x8B2D84AbEa4De54c8dDa04537730948d51358788,5226,23,6,1,1,1,1,1,5,1,0,1,0,0,1,2,1,1
46,0x8aA192f1e2523ed09b32638b16585Fb14903f1f4,5226,23,5,2,2,1,1,1,5,1,0,0,0,0,1,2,1,1
46,0x97538e1a3821f3327Fe2a2fF4993f3d154f28B01,5226,23,6,2,3,1,1,0,5,1,0,0,0,0,0,2,1,1
46,0xCd02389AC7857Df86301bFc1fF5E0E29779083db,5226,23,6,2,2,1,1,0,5,1,0,0,0,0,1,2,1,1
46,0xDF4a612ebC3A4135D55b576bbB6b78543c8Be261,5226,23,6,2,2,1,1,0,5,1,0,0,0,0,1,2,1,1
46,0xF4b40B20572D117EAD7b5ca3C7eFf7d3CBdC4067,5226,23,6,1,2,2,2,0,5,1,0,0,0,0,0,2,1,1
46,0xFAC219Be81D0236e4167163111298934B53a6D95,5226,23,6,2,2,1,1,0,5,1,0,1,0,0,0,2,1,1
46,0xbeFe2497ebdf0C2EE8f49AB52dDcFA010dAAb3b3,5226,23,5,2,2,1,1,0,5,1,0,1,0,0,1,2,1,1
46,0xc6F38CA3B9F12a7C9B17c6d8E832779adC4F548D,5226,23,5,1,1,3,1,0,5,1,0,1,0,0,1,2,1,1
46,0xe40bBd3CD595b1B834719c3E113ea64bBAc20052,5226,23,6,2,2,2,1,0,5,0,0,1,0,0,0,2,1,1
46,0xed641737351A56b75C6C7da7f5AcB2eaBF11Bd36,5226,23,6,2,2,1,1,0,5,1,0,0,0,0,1,2,1,1
46,0xf845A40a01763ba1b83462BEeCee331bc4653ED1,5226,23,6,2,3,1,1,0,5,1,0,0,0,0,0,2,1,1
71,0x003AdDda0586e9Cc879CDC96C405af660250348f,4999,22,5,2,2,1,1,0,5,1,0,1,0,0,0,2,1,1
71,0x1e2C165400D6Ea634771F4c2B3892515a1b6725b,4999,22,4,2,2,1,2,1,5,1,0,0,0,0,0,2,1,1
71,0x2799aaa2c28425B6554914c459da470C5198BC4F,4999,22,6,2,2,1,1,0,5,0,0,0,0,0,1,2,1,1
